module	symbol	value	implemented_by
applesoft/applesoft	TOKEN_ADDRESS_TABLE	0x0000	AS_NEXT_Handler
applesoft/applesoft	[start]	0x0000	AS_NEXT_Handler
applesoft/applesoft	UNFNC	0x0080	
applesoft/applesoft	MATHTBL	0x00b2	
applesoft/applesoft	M_NEG	0x00c7	
applesoft/applesoft	MEQUU	0x00ca	
applesoft/applesoft	M_REL	0x00cd	
applesoft/applesoft	TOKEN_NAME_TABLE	0x00d0	AS_TOKEN_NAME_TABLE
applesoft/applesoft	ERROR_MESSAGES	0x0260	AS_ERROR_MESSAGES
applesoft/applesoft	QT_ERROR	0x0350	AS_QT_ERROR
applesoft/applesoft	QT_IN	0x0358	AS_QT_ERROR
applesoft/applesoft	QT_BREAK	0x035d	AS_QT_ERROR
applesoft/applesoft	GTFORPNT	0x0365	
applesoft/applesoft	L_GTFORPNT_1	0x036a	
applesoft/applesoft	L_GTFORPNT_2	0x037f	
applesoft/applesoft	L_GTFORPNT_3	0x038b	
applesoft/applesoft	L_GTFORPNT_4	0x0392	
applesoft/applesoft	BLTU	0x0393	
applesoft/applesoft	BLTU2	0x039a	AS_BLTU2
applesoft/applesoft	L_BLTU2_1	0x03b7	AS_BLTU2
applesoft/applesoft	L_BLTU2_2	0x03c3	AS_BLTU2
applesoft/applesoft	L_BLTU2_3	0x03c7	AS_BLTU2
applesoft/applesoft	L_BLTU2_4	0x03ce	AS_BLTU2
applesoft/applesoft	CHKMEM	0x03d6	AS_CHKMEM
applesoft/applesoft	REASON	0x03e3	AS_REASON
applesoft/applesoft	L_REASON_1	0x03ed	AS_REASON
applesoft/applesoft	L_REASON_2	0x03f1	AS_REASON
applesoft/applesoft	L_REASON_3	0x03fc	AS_REASON
applesoft/applesoft	L_REASON_4	0x040f	AS_REASON
applesoft/applesoft	MEMERR	0x0410	
applesoft/applesoft	ERROR	0x0412	IsOnErr
applesoft/applesoft	L_ERROR_1	0x0419	
applesoft/applesoft	L_ERROR_2	0x041f	
applesoft/applesoft	PRINT_ERROR_LINNUM	0x0431	
applesoft/applesoft	RESTART	0x043c	AS_RESTART
applesoft/applesoft	NUMBERED_LINE	0x045c	
applesoft/applesoft	L_NUMBERED_LINE_1	0x049f	
applesoft/applesoft	L_NUMBERED_LINE_2	0x04a7	
applesoft/applesoft	PUT_NEW_LINE	0x04b5	InsertNewAS_Line
applesoft/applesoft	L_PUT_NEW_LINE_1	0x04d1	InsertNewAS_Line
applesoft/applesoft	L_PUT_NEW_LINE_2	0x04ea	InsertNewAS_Line
applesoft/applesoft	FIX_LINKS	0x04f2	AS_FIX_LINKS
applesoft/applesoft	L_FIX_LINKS_1	0x04fe	AS_FIX_LINKS
applesoft/applesoft	L_FIX_LINKS_2	0x050f	AS_FIX_LINKS
applesoft/applesoft	L_FIX_LINKS_3	0x0511	AS_FIX_LINKS
applesoft/applesoft	INLIN	0x052c	
applesoft/applesoft	INLIN2	0x052e	
applesoft/applesoft	L_INLIN2_1	0x0539	
applesoft/applesoft	L_INLIN2_2	0x0541	
applesoft/applesoft	L_INLIN2_3	0x054c	
applesoft/applesoft	INCHR	0x0553	AS_INCHR
applesoft/applesoft	PARSE_INPUT_LINE	0x0559	GetTextTablePointer
applesoft/applesoft	PARSE	0x056c	GetTextTablePointer
applesoft/applesoft	L_PARSE_1	0x056d	GetTextTablePointer
applesoft/applesoft	L_PARSE_2	0x0578	GetTextTablePointer
applesoft/applesoft	L_PARSE_3	0x0588	GetTextTablePointer
applesoft/applesoft	L_PARSE_4	0x0590	GetTextTablePointer
applesoft/applesoft	L_PARSE_5	0x05a2	GetTextTablePointer
applesoft/applesoft	L_PARSE_6	0x05a7	GetTextTablePointer
applesoft/applesoft	L_PARSE_7	0x05a8	GetTextTablePointer
applesoft/applesoft	L_PARSE_8	0x05cb	GetTextTablePointer
applesoft/applesoft	L_PARSE_9	0x05cd	GetTextTablePointer
applesoft/applesoft	L_PARSE_10	0x05e0	GetTextTablePointer
applesoft/applesoft	L_PARSE_11	0x05e2	GetTextTablePointer
applesoft/applesoft	L_PARSE_12	0x05e9	GetTextTablePointer
applesoft/applesoft	L_PARSE_13	0x05f2	GetTextTablePointer
applesoft/applesoft	L_PARSE_14	0x05f9	GetTextTablePointer
applesoft/applesoft	L_PARSE_15	0x05fd	GetTextTablePointer
applesoft/applesoft	L_PARSE_16	0x0604	GetTextTablePointer
applesoft/applesoft	L_PARSE_17	0x0610	GetTextTablePointer
applesoft/applesoft	FNDLIN	0x061a	AS_FNDLIN
applesoft/applesoft	FL1	0x061e	AS_FL1
applesoft/applesoft	L_FL1_1	0x0635	AS_FL1
applesoft/applesoft	L_FL1_2	0x063e	AS_FL1
applesoft/applesoft	L_FL1_3	0x0647	AS_FL1
applesoft/applesoft	RTS_1	0x0648	AS_FL1
applesoft/applesoft	NEW	0x0649	
applesoft/applesoft	SCRTCH	0x064b	
applesoft/applesoft	SETPTRS	0x0665	
applesoft/applesoft	CLEAR	0x066a	
applesoft/applesoft	CLEARC	0x066c	
applesoft/applesoft	STKINI	0x0683	
applesoft/applesoft	RTS_2	0x0696	
applesoft/applesoft	STXTPT	0x0697	
applesoft/applesoft	LIST	0x06a5	
applesoft/applesoft	L_LIST_1	0x06b1	
applesoft/applesoft	L_LIST_2	0x06c4	
applesoft/applesoft	L_LIST_3	0x06cc	
applesoft/applesoft	LIST_0	0x06da	
applesoft/applesoft	L_LIST_0_5	0x06f5	
applesoft/applesoft	L_LIST_0_6	0x06f7	
applesoft/applesoft	LIST_1	0x06fe	
applesoft/applesoft	LIST_2	0x0702	
applesoft/applesoft	L_LIST_2_1	0x0712	
applesoft/applesoft	LIST_3	0x0724	
applesoft/applesoft	GETCHR	0x072c	
applesoft/applesoft	L_GETCHR_1	0x0731	
applesoft/applesoft	LIST_4	0x0734	
applesoft/applesoft	L_LIST_4_1	0x0746	
applesoft/applesoft	L_LIST_4_2	0x0749	
applesoft/applesoft	L_LIST_4_3	0x0750	
applesoft/applesoft	L_LIST_4_4	0x0755	
applesoft/applesoft	L_LIST_4_5	0x075f	
applesoft/applesoft	FOR	0x0766	
applesoft/applesoft	L_FOR_1	0x0777	
applesoft/applesoft	STEP	0x07af	
applesoft/applesoft	L_STEP_1	0x07c3	
applesoft/applesoft	NEWSTT	0x07d2	
applesoft/applesoft	L_NEWSTT_1	0x07e5	
applesoft/applesoft	L_NEWSTT_2	0x0805	AS_EXECUTE_STATEMENT, IsRunningMode
applesoft/applesoft	TRACE_	0x0805	AS_EXECUTE_STATEMENT, IsRunningMode
applesoft/applesoft	L_TRACE__1	0x081d	AS_EXECUTE_STATEMENT, IsRunningMode
applesoft/applesoft	GOEND	0x0826	AS_EXECUTE_STATEMENT, AS_GOEND, IsRunningMode
applesoft/applesoft	EXECUTE_STATEMENT	0x0828	AS_EXECUTE_STATEMENT, CurrentStatementChar
applesoft/applesoft	EXECUTE_STATEMENT_1	0x082a	AS_COLON_
applesoft/applesoft	L_EXECUTE_STATEMENT_1_1	0x083f	AS_COLON_
applesoft/applesoft	COLON_	0x0842	AS_COLON_
applesoft/applesoft	SYNERR_1	0x0846	AS_COLON_
applesoft/applesoft	RESTORE	0x0849	MON_RESTORE
applesoft/applesoft	SETDA	0x0853	MON_RESTORE
applesoft/applesoft	RTS_3	0x0857	MON_RESTORE
applesoft/applesoft	ISCNTC	0x0858	MON_RESTORE
applesoft/applesoft	L_ISCNTC_1	0x0860	MON_RESTORE
applesoft/applesoft	CONTROL_C_TYPED	0x0863	AS_CONT, MON_RESTORE
applesoft/applesoft	L_CONTROL_C_TYPED_2	0x086c	AS_CONT, MON_RESTORE
applesoft/applesoft	STOP	0x086e	MON_RESTORE
applesoft/applesoft	ENDX	0x0870	MON_RESTORE
applesoft/applesoft	END2	0x0871	IsStatementEndOfParsedInput, MON_RESTORE
applesoft/applesoft	L_END2_1	0x0888	IsStatementEndOfParsedInput, MON_RESTORE
applesoft/applesoft	END4	0x088a	IsStatementEndOfParsedInput, MON_RESTORE
applesoft/applesoft	L_END4_1	0x0893	IsStatementEndOfParsedInput, MON_RESTORE
applesoft/applesoft	CONT	0x0896	AS_CONT, IsStatementEndOfParsedInput, MON_RESTORE
applesoft/applesoft	L_CONT_1	0x08a1	AS_CONT, IsStatementEndOfParsedInput, MON_RESTORE
applesoft/applesoft	RTS_4	0x08af	AS_CONT, IsStatementEndOfParsedInput, MON_RESTORE
applesoft/applesoft	SAVE	0x08b0	AS_SAVE
applesoft/applesoft	LOAD	0x08c9	AS_LOAD
applesoft/applesoft	L_LOAD_1	0x08ed	AS_LOAD
applesoft/applesoft	VARTIO	0x08f0	AS_VARTIO
applesoft/applesoft	PROGIO	0x0901	AS_PROGIO
applesoft/applesoft	RUN	0x0912	AS_RUN
applesoft/applesoft	L_RUN_1	0x091b	AS_RUN
applesoft/applesoft	GOSUB	0x0921	AS_GOSUB
applesoft/applesoft	GO_TO_LINE	0x0935	
applesoft/applesoft	GOTO	0x093e	
applesoft/applesoft	L_GOTO_1	0x0955	
applesoft/applesoft	L_GOTO_2	0x0959	
applesoft/applesoft	RTS_5	0x096a	AS_RTS_5
applesoft/applesoft	POP	0x096b	AS_RTS_5
applesoft/applesoft	UNDERR	0x097c	AS_RTS_5
applesoft/applesoft	SYNERR_2	0x0981	AS_RTS_5
applesoft/applesoft	RETURN	0x0984	
applesoft/applesoft	DATA	0x0995	AS_DATA
applesoft/applesoft	ADDON	0x0998	AS_ADDON
applesoft/applesoft	L_ADDON_1	0x09a2	AS_ADDON
applesoft/applesoft	RTS_6	0x09a2	AS_ADDON
applesoft/applesoft	DATAN	0x09a3	AS_DATAN
applesoft/applesoft	REMN	0x09a6	AS_REMN
applesoft/applesoft	L_REMN_1	0x09ae	AS_REMN
applesoft/applesoft	L_REMN_2	0x09b6	AS_REMN
applesoft/applesoft	PULL3	0x09c5	AS_PULL3
applesoft/applesoft	IF	0x09c9	AS_IF
applesoft/applesoft	L_IF_1	0x09d8	AS_IF
applesoft/applesoft	REM	0x09dc	AS_IF_TRUE
applesoft/applesoft	IF_TRUE	0x09e1	AS_IF_TRUE
applesoft/applesoft	L_IF_TRUE_1	0x09e9	AS_IF_TRUE
applesoft/applesoft	ONGOTO	0x09ec	AS_ONGOTO
applesoft/applesoft	ON_1	0x09f4	AS_ONGOTO
applesoft/applesoft	ON_2	0x09f8	AS_ONGOTO
applesoft/applesoft	L_ON_2_3	0x0a00	AS_ONGOTO
applesoft/applesoft	RTS_7	0x0a0b	AS_ONGOTO
applesoft/applesoft	LINGET	0x0a0c	AS_LINGET
applesoft/applesoft	L_LINGET_1	0x0a12	AS_LINGET
applesoft/applesoft	L_LINGET_2	0x0a40	AS_LINGET
applesoft/applesoft	LET	0x0a46	AS_LET2
applesoft/applesoft	LET2	0x0a63	AS_LET2
applesoft/applesoft	L_LET2_1	0x0a77	AS_LET2
applesoft/applesoft	LET_STRING	0x0a7a	AS_LET2
applesoft/applesoft	PUTSTR	0x0a7b	AS_PUTSTR
applesoft/applesoft	L_PUTSTR_1	0x0a8c	AS_PUTSTR
applesoft/applesoft	L_PUTSTR_2	0x0a9a	AS_PUTSTR
applesoft/applesoft	L_PUTSTR_3	0x0aa1	AS_PUTSTR
applesoft/applesoft	L_PUTSTR_4	0x0ab7	AS_PUTSTR
applesoft/applesoft	PR_STRING	0x0acf	
applesoft/applesoft	PRINT	0x0ad5	AS_PRINT
applesoft/applesoft	PRINT2	0x0ad7	AS_PRINT2
applesoft/applesoft	CRDO	0x0afb	
applesoft/applesoft	NEGATE	0x0b00	
applesoft/applesoft	RTS_8	0x0b02	
applesoft/applesoft	PR_COMMA	0x0b03	
applesoft/applesoft	L_PR_COMMA_1	0x0b0e	
applesoft/applesoft	PR_TAB_OR_SPC	0x0b16	
applesoft/applesoft	L_PR_TAB_OR_SPC_1	0x0b21	
applesoft/applesoft	L_PR_TAB_OR_SPC_2	0x0b2b	
applesoft/applesoft	NXSPC	0x0b2c	
applesoft/applesoft	PR_NEXT_CHAR	0x0b2f	
applesoft/applesoft	DOSPC	0x0b35	
applesoft/applesoft	STROUT	0x0b3a	print_list_loop
applesoft/applesoft	STRPRT	0x0b3d	
applesoft/applesoft	L_STRPRT_1	0x0b44	
applesoft/applesoft	OUTSP	0x0b57	
applesoft/applesoft	OUTQUES	0x0b5a	
applesoft/applesoft	OUTDO	0x0b5c	
applesoft/applesoft	L_OUTDO_1	0x0b64	
applesoft/applesoft	INPUTERR	0x0b71	
applesoft/applesoft	READERR	0x0b7b	AS_READERR
applesoft/applesoft	ERLIN	0x0b7f	
applesoft/applesoft	INPERR	0x0b86	
applesoft/applesoft	RESPERR	0x0b87	AS_RESPERR
applesoft/applesoft	L_RESPERR_1	0x0b90	AS_RESPERR
applesoft/applesoft	GET	0x0ba0	
applesoft/applesoft	INPUT	0x0bb2	AS_INPUT
applesoft/applesoft	L_INPUT_1	0x0bc4	AS_INPUT
applesoft/applesoft	L_INPUT_2	0x0bc7	AS_INPUT
applesoft/applesoft	NXIN	0x0bdc	
applesoft/applesoft	READ	0x0be2	
applesoft/applesoft	INPUT_FLAG_ZERO	0x0be9	
applesoft/applesoft	PROCESS_INPUT_LIST	0x0beb	
applesoft/applesoft	PROCESS_INPUT_ITEM	0x0bf1	
applesoft/applesoft	L_PROCESS_INPUT_ITEM_1	0x0c1f	
applesoft/applesoft	L_PROCESS_INPUT_ITEM_2	0x0c27	
applesoft/applesoft	INSTART	0x0c2b	
applesoft/applesoft	L_INSTART_1	0x0c3f	
applesoft/applesoft	L_INSTART_2	0x0c4b	
applesoft/applesoft	L_INSTART_3	0x0c4c	
applesoft/applesoft	L_INSTART_4	0x0c57	
applesoft/applesoft	L_INSTART_5	0x0c63	
applesoft/applesoft	INPUTDWTA	0x0c69	
applesoft/applesoft	INPUT_MORE	0x0c72	
applesoft/applesoft	L_INPUT_MORE_1	0x0c7e	
applesoft/applesoft	INPFIN	0x0c99	
applesoft/applesoft	FINDATA	0x0ca0	
applesoft/applesoft	L_FINDATA_1	0x0cb9	
applesoft/applesoft	INPDONE	0x0cc6	
applesoft/applesoft	L_INPDONE_1	0x0cd1	
applesoft/applesoft	L_INPDONE_2	0x0cde	
applesoft/applesoft	ERR_EXTRA	0x0cdf	
applesoft/applesoft	ERR_REENTRY	0x0cef	
applesoft/applesoft	NEXT	0x0cf9	AS_TRACE_
applesoft/applesoft	NEXT_1	0x0cff	AS_TRACE_
applesoft/applesoft	NEXT_2	0x0d02	AS_TRACE_
applesoft/applesoft	GERR	0x0d0d	AS_TRACE_
applesoft/applesoft	NEXT_3	0x0d0f	AS_TRACE_
applesoft/applesoft	L_NEXT_3_1	0x0d52	AS_TRACE_
applesoft/applesoft	L_NEXT_3_2	0x0d55	AS_TRACE_
applesoft/applesoft	FRMNUM	0x0d67	AS_FRMNUM
applesoft/applesoft	CHKNUM	0x0d6a	AS_CHKNUM, AS_FRMNUM
applesoft/applesoft	CHKSTR	0x0d6c	AS_CHKSTR, AS_FRMNUM
applesoft/applesoft	CHKVAL	0x0d6d	AS_CHKVAL, AS_FRMNUM
applesoft/applesoft	L_CHKVAL_1	0x0d73	AS_CHKVAL, AS_FRMNUM
applesoft/applesoft	L_CHKVAL_2	0x0d74	AS_CHKVAL, AS_FRMNUM
applesoft/applesoft	L_CHKVAL_3	0x0d76	AS_CHKVAL, AS_FRMNUM
applesoft/applesoft	JERROR	0x0d78	AS_CHKVAL, AS_FRMNUM
applesoft/applesoft	FRMEVL	0x0d7b	AS_FRMEVL
applesoft/applesoft	L_FRMEVL_1	0x0d81	AS_FRMEVL
applesoft/applesoft	FRMEVL_1	0x0d86	AS_FRMEVL
applesoft/applesoft	FRMEVL_2	0x0d95	AS_FRMEVL, AS_FRMEVL_2
applesoft/applesoft	L_FRMEVL_2_1	0x0d98	AS_FRMEVL, AS_FRMEVL_2
applesoft/applesoft	L_FRMEVL_2_2	0x0db4	AS_FRMEVL, AS_FRMEVL_2
applesoft/applesoft	L_FRMEVL_2_3	0x0dc5	AS_FRMEVL, AS_FRMEVL_2
applesoft/applesoft	FRM_PRECEDENCE_TEST	0x0dcd	AS_FRMEVL, AS_FRMEVL_2
applesoft/applesoft	NXOP	0x0dd6	AS_FRMEVL, AS_FRMEVL_2
applesoft/applesoft	SAVOP	0x0dd7	AS_FRMEVL, AS_FRMEVL_2
applesoft/applesoft	FRM_RELATIONAL	0x0de4	AS_FRMEVL
applesoft/applesoft	L_FRM_RELATIONAL_1	0x0dee	AS_FRMEVL
applesoft/applesoft	PREFNC	0x0df6	AS_FRMEVL
applesoft/applesoft	FRM_RECURSE	0x0dfd	AS_FRMEVL
applesoft/applesoft	SNTXERR	0x0e0d	AS_FRMEVL
applesoft/applesoft	FRM_STACK_1	0x0e10	
applesoft/applesoft	FRM_STACK_2	0x0e15	AS_FRM_STACK_2
applesoft/applesoft	FRM_STACK_3	0x0e20	AS_FRM_STACK_3
applesoft/applesoft	NOTMATH	0x0e35	
applesoft/applesoft	GOEX	0x0e38	
applesoft/applesoft	FRM_PERFORM_1	0x0e3a	
applesoft/applesoft	L_FRM_PERFORM_1_1	0x0e41	
applesoft/applesoft	FRM_PERFORM_2	0x0e43	
applesoft/applesoft	EXIT	0x0e5d	
applesoft/applesoft	FRM_ELEMENT	0x0e60	
applesoft/applesoft	L_FRM_ELEMENT_1	0x0e64	
applesoft/applesoft	L_FRM_ELEMENT_2	0x0e69	
applesoft/applesoft	L_FRM_ELEMENT_3	0x0e6c	
applesoft/applesoft	STRTXT	0x0e81	
applesoft/applesoft	L_STRTXT_1	0x0e8a	
applesoft/applesoft	NOT_	0x0e90	AS_NOT_
applesoft/applesoft	EQUOP	0x0e98	AS_MATHTBL, AS_NOT_
applesoft/applesoft	L_EQUOP_1	0x0e9f	AS_MATHTBL, AS_NOT_
applesoft/applesoft	FN_	0x0ea4	
applesoft/applesoft	SGN_	0x0eab	
applesoft/applesoft	PARCHK	0x0eb2	AS_PARCHK
applesoft/applesoft	CHKCLS	0x0eb8	
applesoft/applesoft	CHKOPN	0x0ebb	
applesoft/applesoft	CHKCOM	0x0ebe	AS_CHKCOM
applesoft/applesoft	SYNCHR	0x0ec0	
applesoft/applesoft	SYNERR	0x0ec9	
applesoft/applesoft	MIN	0x0ece	
applesoft/applesoft	EQUL	0x0ed0	
applesoft/applesoft	FRM_VARIABLE	0x0ed5	AS_FRM_VARIABLE
applesoft/applesoft	L_FRM_VARIABLE_CALL_1	0x0ee5	AS_FRM_VARIABLE
applesoft/applesoft	L_FRM_VARIABLE_CALL_2	0x0ef6	AS_FRM_VARIABLE
applesoft/applesoft	SCREEN	0x0ef9	AS_SCREEN
applesoft/applesoft	UNARY	0x0f0c	AS_UNARY
applesoft/applesoft	L_UNARY_1	0x0f3a	AS_UNARY
applesoft/applesoft	L_UNARY_2	0x0f3f	AS_UNARY
applesoft/applesoft	OR	0x0f4f	AS_ANDOP, AS_OR_op
applesoft/applesoft	ANDOP	0x0f55	AS_ANDOP
applesoft/applesoft	FALSE	0x0f5d	AS_FALSE
applesoft/applesoft	TRUE	0x0f60	AS_TRUE
applesoft/applesoft	RELOPS	0x0f65	AS_RELOPS
applesoft/applesoft	STRCMP	0x0f7d	AS_STRCMP
applesoft/applesoft	L_STRCMP_1	0x0fa5	AS_STRCMP
applesoft/applesoft	STRCMP_1	0x0faa	AS_STRCMP, CompareArgAndFacStrings
applesoft/applesoft	NUMCMP	0x0fb0	AS_NUMCMP, CompareArgAndFacStrings
applesoft/applesoft	STRCMP_2	0x0fb5	AS_NUMCMP, CompareArgAndFacStrings
applesoft/applesoft	CMPDONE	0x0fc1	AS_AYINT, CompareArgAndFacStrings
applesoft/applesoft	L_CMPDONE_1	0x0fca	AS_AYINT, CompareArgAndFacStrings
applesoft/applesoft	PDL	0x0fcd	AS_PDL
applesoft/applesoft	NXDIM	0x0fd6	AS_NXDIM
applesoft/applesoft	DIM	0x0fd9	AS_DIM
applesoft/applesoft	PTRGET	0x0fe3	AS_PTRGET
applesoft/applesoft	PTRGET2	0x0fe8	AS_PTRGET2
applesoft/applesoft	PTRGET3	0x0fea	AS_PTRGET3
applesoft/applesoft	BADNAM	0x0ff4	AS_BADNAM
applesoft/applesoft	NAMOK	0x0ff7	AS_NAMOK
applesoft/applesoft	BASIC	0x1000	AS_BASIC
applesoft/applesoft	BASIC2	0x1003	AS_BASIC2
applesoft/applesoft	PTRGET4	0x1007	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_1	0x1011	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_2	0x1012	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_3	0x101c	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_4	0x1026	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_5	0x1036	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_6	0x103d	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_7	0x1046	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_8	0x1049	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_9	0x104f	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_10	0x1059	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_11	0x105b	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_12	0x1065	AS_PTRGET4
applesoft/applesoft	L_PTRGET4_13	0x1073	AS_PTRGET4
applesoft/applesoft	ISLETC	0x107d	AS_MKINT
applesoft/applesoft	L_ISLETC_1	0x1086	AS_MKINT
applesoft/applesoft	NAME_NOT_FOUND	0x1087	AS_NAME_NOT_FOUND
applesoft/applesoft	C_ZERO	0x109a	AS_USE_OLD_ARRAY
applesoft/applesoft	MAKE_NEW_VARIABLE	0x109c	AS_MAKE_NEW_VARIABLE
applesoft/applesoft	L_MAKE_NEW_VARIABLE_1	0x10b2	AS_MAKE_NEW_VARIABLE
applesoft/applesoft	SET_VARPNT_AND_YA	0x10de	AS_MAKE_NEW_VARIABLE, AS_SET_VARPNT_AND_YA
applesoft/applesoft	L_SET_VARPNT_AND_YA_1	0x10e8	AS_MAKE_NEW_VARIABLE, AS_SET_VARPNT_AND_YA
applesoft/applesoft	GETARY	0x10ed	AS_GETARY
applesoft/applesoft	GETARY2	0x10ef	AS_GETARY2
applesoft/applesoft	L_GETARY2_1	0x10f9	AS_GETARY2
applesoft/applesoft	NEG32768	0x10fe	AS_NEG32768
applesoft/applesoft	MAKINT	0x1102	AS_MAKINT
applesoft/applesoft	MKINT	0x1108	AS_MKINT
applesoft/applesoft	AYINT	0x110c	AS_AYINT
applesoft/applesoft	MI1	0x1119	AS_MI1
applesoft/applesoft	MI2	0x111b	AS_MI2
applesoft/applesoft	ARRAY	0x111e	AS_ARRAY
applesoft/applesoft	L_ARRAY_1	0x112c	AS_ARRAY
applesoft/applesoft	L_ARRAY_2	0x1169	AS_ARRAY
applesoft/applesoft	L_ARRAY_3	0x116d	AS_ARRAY
applesoft/applesoft	L_ARRAY_4	0x1179	AS_ARRAY
applesoft/applesoft	L_ARRAY_5	0x1188	AS_ARRAY
applesoft/applesoft	SUBERR	0x1196	AS_ARRAY, AS_SUBERR
applesoft/applesoft	IQERR	0x1199	AS_ARRAY
applesoft/applesoft	JER	0x119b	AS_ARRAY
applesoft/applesoft	USE_OLD_ARRAY	0x119e	AS_ARRAY, AS_USE_OLD_ARRAY
applesoft/applesoft	L_USE_OLD_ARRAY_1	0x11aa	AS_ARRAY, AS_USE_OLD_ARRAY
applesoft/applesoft	MAKE_NEW_ARRAY	0x11b8	
applesoft/applesoft	L_MAKE_NEW_ARRAY_1	0x11c1	
applesoft/applesoft	L_MAKE_NEW_ARRAY_2	0x11d5	
applesoft/applesoft	L_MAKE_NEW_ARRAY_3	0x11de	
applesoft/applesoft	L_MAKE_NEW_ARRAY_4	0x11e7	
applesoft/applesoft	L_MAKE_NEW_ARRAY_5	0x11f7	
applesoft/applesoft	L_MAKE_NEW_ARRAY_6	0x121a	
applesoft/applesoft	L_MAKE_NEW_ARRAY_7	0x1229	
applesoft/applesoft	L_MAKE_NEW_ARRAY_8	0x122e	
applesoft/applesoft	FIND_ARRAY_ELEMENT	0x124b	AS_FIND_ARRAY_ELEMENT
applesoft/applesoft	FAE_1	0x1253	AS_FAE_1
applesoft/applesoft	GSE	0x1269	AS_FAE_1, AS_GSE
applesoft/applesoft	GME	0x126c	AS_FAE_1, AS_GME
applesoft/applesoft	FAE_2	0x126f	AS_FAE_1, AS_GME
applesoft/applesoft	FAE_3	0x1270	AS_FAE_1, AS_GME
